db-1   | 2026-08-24 14:01:04.115 UTC [55] LOG:  checkpoint complete: wrote 2 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.103 s, sync=0.002 s, total=0.110 s; sync files=2, longest=0.002 s, average=0.001 s; distance=4 kB, estimate=10 kB; lsn=0/25CFC38, redo lsn=0/25CFC00
db-1   | 2026-08-24 14:06:04.207 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-08-24 14:06:04.316 UTC [55] LOG:  checkpoint complete: wrote 2 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.102 s, sync=0.002 s, total=0.110 s; sync files=2, longest=0.002 s, average=0.001 s; distance=5 kB, estimate=9 kB; lsn=0/25D1230, redo lsn=0/25D11F8
db-1   | 2026-08-24 14:11:04.417 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-08-24 14:11:04.527 UTC [55] LOG:  checkpoint complete: wrote 2 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.102 s, sync=0.002 s, total=0.111 s; sync files=2, longest=0.001 s, average=0.001 s; distance=6 kB, estimate=9 kB; lsn=0/25D2B30, redo lsn=0/25D2AF8
db-1   | 2026-08-24 14:16:04.623 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-08-24 14:16:04.731 UTC [55] LOG:  checkpoint complete: wrote 2 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.102 s, sync=0.002 s, total=0.109 s; sync files=2, longest=0.001 s, average=0.001 s; distance=7 kB, estimate=9 kB; lsn=0/25D4788, redo lsn=0/25D4750
db-1   | 2026-08-24 14:21:04.832 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-08-24 14:21:04.941 UTC [55] LOG:  checkpoint complete: wrote 2 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.102 s, sync=0.002 s, total=0.110 s; sync files=2, longest=0.001 s, average=0.001 s; distance=8 kB, estimate=9 kB; lsn=0/25D6898, redo lsn=0/25D6860
db-1   | 2026-08-24 14:26:05.041 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-08-24 14:26:05.352 UTC [55] LOG:  checkpoint complete: wrote 4 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.303 s, sync=0.003 s, total=0.311 s; sync files=3, longest=0.002 s, average=0.001 s; distance=16 kB, estimate=16 kB; lsn=0/25DAC70, redo lsn=0/25DAC38
db-1   | 2026-08-24 14:31:05.452 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-08-24 14:31:05.562 UTC [55] LOG:  checkpoint complete: wrote 2 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.102 s, sync=0.002 s, total=0.111 s; sync files=2, longest=0.002 s, average=0.001 s; distance=3 kB, estimate=15 kB; lsn=0/25DB8C0, redo lsn=0/25DB888
db-1   | 2026-08-24 14:36:05.627 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-08-24 14:36:05.737 UTC [55] LOG:  checkpoint complete: wrote 2 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.102 s, sync=0.002 s, total=0.110 s; sync files=2, longest=0.002 s, average=0.001 s; distance=4 kB, estimate=14 kB; lsn=0/25DC968, redo lsn=0/25DC930
db-1   | 2026-08-24 14:41:05.779 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-08-24 14:41:05.888 UTC [55] LOG:  checkpoint complete: wrote 2 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.102 s, sync=0.002 s, total=0.109 s; sync files=2, longest=0.001 s, average=0.001 s; distance=4 kB, estimate=13 kB; lsn=0/25DDD00, redo lsn=0/25DDCC8
db-1   | 2026-08-24 14:46:05.896 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-08-24 14:46:06.005 UTC [55] LOG:  checkpoint complete: wrote 2 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.102 s, sync=0.002 s, total=0.109 s; sync files=2, longest=0.001 s, average=0.001 s; distance=5 kB, estimate=12 kB; lsn=0/25DF408, redo lsn=0/25DF3D0
db-1   | 2026-08-24 14:51:05.105 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-08-24 14:51:05.214 UTC [55] LOG:  checkpoint complete: wrote 2 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.102 s, sync=0.002 s, total=0.109 s; sync files=2, longest=0.001 s, average=0.001 s; distance=6 kB, estimate=12 kB; lsn=0/25E0F50, redo lsn=0/25E0F18
db-1   | 2026-08-24 14:56:05.251 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-08-24 14:56:05.360 UTC [55] LOG:  checkpoint complete: wrote 2 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.102 s, sync=0.002 s, total=0.109 s; sync files=2, longest=0.001 s, average=0.001 s; distance=7 kB, estimate=11 kB; lsn=0/25E2DA0, redo lsn=0/25E2D68
db-1   | 2026-08-24 15:01:05.460 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-08-24 15:01:05.569 UTC [55] LOG:  checkpoint complete: wrote 2 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.102 s, sync=0.002 s, total=0.109 s; sync files=2, longest=0.001 s, average=0.001 s; distance=1 kB, estimate=10 kB; lsn=0/25E33E0, redo lsn=0/25E33A8
db-1   | 2026-08-24 15:06:05.669 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-08-24 15:06:05.778 UTC [55] LOG:  checkpoint complete: wrote 2 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.102 s, sync=0.002 s, total=0.109 s; sync files=2, longest=0.001 s, average=0.001 s; distance=2 kB, estimate=9 kB; lsn=0/25E3EE8, redo lsn=0/25E3EB0
db-1   | 2026-08-24 15:11:05.859 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-08-24 15:11:05.968 UTC [55] LOG:  checkpoint complete: wrote 2 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.102 s, sync=0.002 s, total=0.110 s; sync files=2, longest=0.001 s, average=0.001 s; distance=3 kB, estimate=9 kB; lsn=0/25E4D48, redo lsn=0/25E4D10
db-1   | 2026-08-24 15:16:06.069 UTC [55] LOG:  checkpoint starting: time
